UpdateTime,UpdateInterval,AuthorityCode,StationID,StationName_Zh_tw,StationName_En,FacilityMapURLs_MapName_Zh_tw,FacilityMapURLs_MapName_En,FacilityMapURLs_MapURL,FacilityMapURLs_FloorLevel,Elevators_Description,Elevators_FloodLevel,InformationSpots_Description,InformationSpots_FloodLevel,DrinkingFountains_Description,DrinkingFountains_FloodLevel,Toilets_Description,Toilets_FloodLevel,Lockers_Description,Lockers_FloodLevel,NursingRooms_Description,NursingRooms_FloodLevel
2024-10-05T14:45:30,-1,TRTC,7,松山機場,Songshan Airport,松山機場站資訊圖,Songshan Airport Station Information Map,https://web.metro.taipei/img/ALL/INFOPDF/007.pdf,參考車站資訊圖,,,,,,,,,,,,
2024-10-05T14:45:30,-1,TRTC,7,松山機場,Songshan Airport,松山機場站資訊圖,Songshan Airport Station Information Map,https://web.metro.taipei/img/ALL/INFOPDF/007.pdf,參考車站資訊圖,,,,,,,,,,,,
2024-10-05T14:45:30,-1,TRTC,8,中山國中,Zhongshan Junior High School,中山國中站資訊圖,Zhongshan Jr. High School Station Information Map,https://web.metro.taipei/img/ALL/INFOPDF/008.pdf,參考車站資訊圖,,,,,,,,,,,,
2024-10-05T14:45:30,-1,TRTC,9,南京復興,Nanjing Fuxing,南京復興站資訊圖,Nanjing Fuxing Station Information Map,https://web.metro.taipei/img/ALL/INFOPDF/009.pdf,參考車站資訊圖,,,,,,,,,,,,
2024-10-05T14:45:30,-1,TRTC,10,忠孝復興,Zhongxiao Fuxing,忠孝復興站資訊圖,Zhongxiao Fuxing Station Information Map,https://web.metro.taipei/img/ALL/INFOPDF/010.pdf,參考車站資訊圖,,,,,,,,,,,,
2024-10-05T14:45:30,-1,TRTC,11,大安,Daan,大安站車站資訊圖,Daan Station Information Map,https://web.metro.taipei/img/ALL/INFOPDF/011.pdf,參考車站資訊圖,,,,,,,,,,,,
2024-10-05T14:45:30,-1,TRTC,12,科技大樓,Technology Building,科技大樓站資訊圖,Technology Building Station Information Map,https://web.metro.taipei/img/ALL/INFOPDF/012.pdf,參考車站資訊圖,,,,,,,,,,,,
2024-10-05T14:45:30,-1,TRTC,13,六張犁,Liuzhangli,六張犁站資訊圖,Liuzhangli Station Information Map,https://web.metro.taipei/img/ALL/INFOPDF/013.pdf,參考車站資訊圖,,,,,,,,,,,,
2024-10-05T14:45:30,-1,TRTC,14,麟光,Linguang,麟光站資訊圖,Linguang Station Information Map,https://web.metro.taipei/img/ALL/INFOPDF/014.pdf,參考車站資訊圖,,,,,,,,,,,,
2024-10-05T14:45:30,-1,TRTC,15,辛亥,Xinhai,辛亥站資訊圖,Xinhai Station Information Map,https://web.metro.taipei/img/ALL/INFOPDF/015.pdf,參考車站資訊圖,,,,,,,,,,,,
2024-10-05T14:45:30,-1,TRTC,16,萬芳醫院,Wanfang Hospital,萬芳醫院站資訊圖,Wanfang Hospital Station Information Map,https://web.metro.taipei/img/ALL/INFOPDF/016.pdf,參考車站資訊圖,,,,,,,,,,,,
2024-10-05T14:45:30,-1,TRTC,17,萬芳社區,Wanfang Community,萬芳社區站資訊圖,Wanfang Community Station Information Map,https://web.metro.taipei/img/ALL/INFOPDF/017.pdf,參考車站資訊圖,,,,,,,,,,,,
2024-10-05T14:45:30,-1,TRTC,18,木柵,Muzha,木柵站資訊圖,Muzha Station Information Map,https://web.metro.taipei/img/ALL/INFOPDF/018.pdf,參考車站資訊圖,,,,,,,,,,,,
2024-10-05T14:45:30,-1,TRTC,19,動物園,Taipei Zoo,動物園站資訊圖,Taipei Zoo Station Information Map,https://web.metro.taipei/img/ALL/INFOPDF/019.pdf,參考車站資訊圖,,,,,,,,,,,,
2024-10-05T14:45:30,-1,TRTC,21,大直,Dazhi,大直站資訊圖,Dazhi Station Information Map,https://web.metro.taipei/img/ALL/INFOPDF/021.pdf,參考車站資訊圖,,,,,,,,,,,,
2024-10-05T14:45:30,-1,TRTC,22,劍南路,Jiannan Rd.,劍南路站資訊圖,Jiannan Rd. Station Information Map,https://web.metro.taipei/img/ALL/INFOPDF/022.pdf,參考車站資訊圖,,,,,,,,,,,,
2024-10-05T14:45:30,-1,TRTC,23,西湖,Xihu,西湖站資訊圖,Xihu Station Information Map,https://web.metro.taipei/img/ALL/INFOPDF/023.pdf,參考車站資訊圖,,,,,,,,,,,,
2024-10-05T14:45:30,-1,TRTC,24,港墘,Gangqian,港墘站資訊圖,Gangqian Station Information Map,https://web.metro.taipei/img/ALL/INFOPDF/024.pdf,參考車站資訊圖,,,,,,,,,,,,
2024-10-05T14:45:30,-1,TRTC,25,文德,Wende,文德站資訊圖,Wende Station Information Map,https://web.metro.taipei/img/ALL/INFOPDF/025.pdf,參考車站資訊圖,,,,,,,,,,,,
2024-10-05T14:45:30,-1,TRTC,26,內湖,Neihu,內湖站資訊圖,Neihu Station Information Map,https://web.metro.taipei/img/ALL/INFOPDF/026.pdf,參考車站資訊圖,,,,,,,,,,,,
2024-10-05T14:45:30,-1,TRTC,27,大湖公園,Dahu Park,大湖公園站資訊圖,Dahu Park Station Information Map,https://web.metro.taipei/img/ALL/INFOPDF/027.pdf,參考車站資訊圖,,,,,,,,,,,,
2024-10-05T14:45:30,-1,TRTC,28,葫洲,Huzhou,葫洲站資訊圖,Huzhou Station Information Map,https://web.metro.taipei/img/ALL/INFOPDF/028.pdf,參考車站資訊圖,,,,,,,,,,,,
2024-10-05T14:45:30,-1,TRTC,29,東湖,Donghu,東湖站資訊圖,Donghu Station Information Map,https://web.metro.taipei/img/ALL/INFOPDF/029.pdf,參考車站資訊圖,,,,,,,,,,,,
2024-10-05T14:45:30,-1,TRTC,30,南港軟體園區,Nangang Software Park,南港軟體園區站資訊圖,Nangang Software Park Station Information Map,https://web.metro.taipei/img/ALL/INFOPDF/030.pdf,參考車站資訊圖,,,,,,,,,,,,
2024-10-05T14:45:30,-1,TRTC,31,南港展覽館,Taipei Nangang Exhibition Center,南港展覽館站資訊圖,Taipei Nangang Exhibition Center Station Information Map,https://web.metro.taipei/img/ALL/INFOPDF/031.pdf,參考車站資訊圖,,,,,,,,,,,,
2024-10-05T14:45:30,-1,TRTC,32,小碧潭,Xiaobitan,小碧潭站資訊圖,Xiaobitan Station Information Map,https://web.metro.taipei/img/ALL/INFOPDF/032.pdf,參考車站資訊圖,,,,,,,,,,,,
2024-10-05T14:45:30,-1,TRTC,33,新店,Xindian,新店站資訊圖,Xindian Station Information Map,https://web.metro.taipei/img/ALL/INFOPDF/033.pdf,參考車站資訊圖,,,,,,,,,,,,
2024-10-05T14:45:30,-1,TRTC,34,新店區公所,Xindian District Office,新店區公所站資訊圖,Xindian District Office Station Information Map,https://web.metro.taipei/img/ALL/INFOPDF/034.pdf,參考車站資訊圖,,,,,,,,,,,,
